ID,Time,Action,EventDescription,UserId,UserDescription
122,2019-06-06 06:28:00 +0000 UTC,deploy_application,Deployed bundle /var/lib/rstudio-connect/bundles/app-13-15.tar.gz to application zzmtcars_wed1,4,Profound Publisher (publisher)
121,2019-06-06 06:28:00 +0000 UTC,upload_bundle,Uploaded bundle for app zzmtcars_wed1 (103424 bytes),4,Profound Publisher (publisher)
120,2019-06-06 06:27:00 +0000 UTC,add_application,Created application zzmtcars_wed1,4,Profound Publisher (publisher)
119,2019-06-06 06:24:00 +0000 UTC,create_variant_manual_overrides,Created new overrides (b50bb50b-3ff6-4b3b-9d9e-000982dd102c) for variant 9 (cons_16) for app 3,4,Profound Publisher (publisher)
118,2019-06-06 06:24:00 +0000 UTC,variant_render,Received a request to render variant 11 (REHfIhwDF7) for app 3,4,Profound Publisher (publisher)
117,2019-06-06 06:24:00 +0000 UTC,promote_variant_manual_overrides,Promoted overrides (11) for variant 11 (REHfIhwDF7) for app 3,4,Profound Publisher (publisher)
116,2019-06-06 06:24:00 +0000 UTC,duplicate_variant,Created variant 11 (REHfIhwDF7) for app 3 as a duplicate of variant 2 (default),4,Profound Publisher (publisher)
115,2019-06-06 06:23:00 +0000 UTC,create_variant_manual_overrides,Created new overrides (16f792a9-b2c2-400d-bf4a-07347d54ec2d) for variant 2 (default) for app 3,4,Profound Publisher (publisher)
114,2019-06-06 05:22:00 +0000 UTC,remove_rendering,Removed rendering 12 for app 3 variant 9,0,Obsolete rendering remover
113,2019-06-06 05:22:00 +0000 UTC,remove_rendering,Removed rendering 10 for app 3 variant 8,0,Obsolete rendering remover
112,2019-06-06 05:22:00 +0000 UTC,remove_rendering,Removed rendering 6 for app 3 variant 5,0,Obsolete rendering remover
111,2019-06-06 05:22:00 +0000 UTC,remove_rendering,Removed rendering 4 for app 3 variant 4,0,Obsolete rendering remover
110,2019-06-06 05:18:00 +0000 UTC,remove_application,Removed application zz_publish_sqlite,4,Profound Publisher (publisher)
109,2019-06-06 05:18:00 +0000 UTC,remove_application,Removed application zz3_sqlite,4,Profound Publisher (publisher)
108,2019-06-06 05:17:00 +0000 UTC,deploy_application,Deployed bundle /var/lib/rstudio-connect/bundles/app-12-14.tar.gz to application zz3_sqlite,4,Profound Publisher (publisher)
107,2019-06-06 05:17:00 +0000 UTC,upload_bundle,Uploaded bundle for app zz3_sqlite (67956 bytes),4,Profound Publisher (publisher)
106,2019-06-06 05:17:00 +0000 UTC,add_application,Created application zz3_sqlite,4,Profound Publisher (publisher)
105,2019-06-06 05:14:00 +0000 UTC,deploy_application,Deployed bundle /var/lib/rstudio-connect/bundles/app-11-13.tar.gz to application zz_publish_sqlite,4,Profound Publisher (publisher)
104,2019-06-06 05:14:00 +0000 UTC,upload_bundle,Uploaded bundle for app zz_publish_sqlite (67964 bytes),4,Profound Publisher (publisher)
103,2019-06-06 00:37:00 +0000 UTC,deploy_application,Deployed bundle /var/lib/rstudio-connect/bundles/app-11-12.tar.gz to application zz_publish_sqlite,4,Profound Publisher (publisher)
102,2019-06-06 00:37:00 +0000 UTC,upload_bundle,Uploaded bundle for app zz_publish_sqlite (67969 bytes),4,Profound Publisher (publisher)
101,2019-06-06 00:29:00 +0000 UTC,deploy_application,Deployed bundle /var/lib/rstudio-connect/bundles/app-11-11.tar.gz to application zz_publish_sqlite,4,Profound Publisher (publisher)
100,2019-06-06 00:29:00 +0000 UTC,upload_bundle,Uploaded bundle for app zz_publish_sqlite (67985 bytes),4,Profound Publisher (publisher)
99,2019-06-06 00:29:00 +0000 UTC,add_application,Created application zz_publish_sqlite,4,Profound Publisher (publisher)
98,2019-06-05 07:12:00 +0000 UTC,remove_application,Removed application mtcars_wed1,4,Profound Publisher (publisher)
97,2019-06-05 07:12:00 +0000 UTC,edit_application,Edited application mtcars_wed1: no differences,4,Profound Publisher (publisher)
96,2019-06-05 07:12:00 +0000 UTC,add_image_to_app,Added image with MD5 ending in 'c7351bf05c' to app mtcars_wed1,4,Profound Publisher (publisher)
95,2019-06-05 07:07:00 +0000 UTC,edit_application,Edited application mtcars_wed1: access_type: acl => logged_in,4,Profound Publisher (publisher)
94,2019-06-05 07:06:00 +0000 UTC,deploy_application,Deployed bundle /var/lib/rstudio-connect/bundles/app-10-10.tar.gz to application mtcars_wed1,4,Profound Publisher (publisher)
93,2019-06-05 07:06:00 +0000 UTC,upload_bundle,Uploaded bundle for app mtcars_wed1 (103418 bytes),4,Profound Publisher (publisher)
92,2019-06-05 07:05:00 +0000 UTC,add_application,Created application mtcars_wed1,4,Profound Publisher (publisher)
91,2019-06-05 06:59:00 +0000 UTC,create_variant_manual_overrides,Created new overrides (c6b47237-65e9-4e0a-b592-0292753a4295) for variant 5 (Agro 18) for app 3,4,Profound Publisher (publisher)
90,2019-06-05 06:59:00 +0000 UTC,create_variant_manual_overrides,Created new overrides (d71d614b-6fb5-4134-a896-66b756653276) for variant 2 (default) for app 3,4,Profound Publisher (publisher)
89,2019-06-05 06:25:00 +0000 UTC,add_schedule,"Added schedule 1 for app 3 variant 9: {1 3 9 true true dayofmonth {""N"":1,""Day"":1} {2019-06-05 06:25:42.4 +0000 UTC true} {2019-07-01 06:25:42.4 +0000 UTC true}}",4,Profound Publisher (publisher)
88,2019-06-05 06:25:00 +0000 UTC,edit_variant,Edited variant 9 (cons_16) for app 3: no differences,4,Profound Publisher (publisher)
87,2019-06-05 06:24:00 +0000 UTC,promote_variant,"Promoted variant 8 (ChVHkVOL6c) for app 3 into variant 9 (cons_16): bundle_id: <nil> => 3, rendering_id: <nil> => 13, render_time: <nil> => 2019-06-05 06:24:16.091389854 +0000 UTC, render_duration: <nil> => 19917307339",4,Profound Publisher (publisher)
86,2019-06-05 06:24:00 +0000 UTC,promote_variant_manual_overrides,Promoted overrides (9) for variant 9 (cons_16) for app 3,4,Profound Publisher (publisher)
85,2019-06-05 06:24:00 +0000 UTC,duplicate_variant,Created variant 9 (cons_16) for app 3 as a duplicate of variant 2 (default),4,Profound Publisher (publisher)
84,2019-06-05 06:23:00 +0000 UTC,variant_render,Received a request to render variant 8 (ChVHkVOL6c) for app 3,4,Profound Publisher (publisher)
83,2019-06-05 06:23:00 +0000 UTC,promote_variant_manual_overrides,Promoted overrides (8) for variant 8 (ChVHkVOL6c) for app 3,4,Profound Publisher (publisher)
82,2019-06-05 06:23:00 +0000 UTC,duplicate_variant,Created variant 8 (ChVHkVOL6c) for app 3 as a duplicate of variant 2 (default),4,Profound Publisher (publisher)
81,2019-06-05 06:23:00 +0000 UTC,create_variant_manual_overrides,Created new overrides (65a5b823-69ec-43ae-b9df-393d6f880bb3) for variant 2 (default) for app 3,4,Profound Publisher (publisher)
80,2019-06-05 06:11:00 +0000 UTC,remove_application,Removed application zsunday2,4,Profound Publisher (publisher)
79,2019-06-05 06:10:00 +0000 UTC,remove_application,Removed application zz_mtcars_wed2,4,Profound Publisher (publisher)
78,2019-06-05 06:09:00 +0000 UTC,deploy_application,Deployed bundle /var/lib/rstudio-connect/bundles/app-9-9.tar.gz to application zz_mtcars_wed2,4,Profound Publisher (publisher)
77,2019-06-05 06:09:00 +0000 UTC,upload_bundle,Uploaded bundle for app zz_mtcars_wed2 (103444 bytes),4,Profound Publisher (publisher)
76,2019-06-05 06:09:00 +0000 UTC,add_application,Created application zz_mtcars_wed2,4,Profound Publisher (publisher)
